,Infected,score,infected_scaled,score_scaled
2021-01-06,6066.0,-2.0,0.2281413306294361,0.0025
2021-01-07,7793.0,-4.0,0.2954917713126901,0.0
2021-01-07,7793.0,-3.0,0.2954917713126901,0.00125
2021-01-07,7793.0,-1.0,0.2954917713126901,0.00375
2021-01-07,7793.0,0.0,0.2954917713126901,0.005
2021-01-07,7793.0,-2.0,0.2954917713126901,0.0025
2021-01-07,7793.0,0.0,0.2954917713126901,0.005
2021-01-07,7793.0,0.0,0.2954917713126901,0.005
2021-01-08,8045.0,-2.0,0.3053193978628812,0.0025
2021-01-08,8045.0,-1.0,0.3053193978628812,0.00375
2021-01-09,7528.0,0.0,0.2851571640277669,0.005
2021-01-09,7528.0,2.0,0.2851571640277669,0.0075
2021-01-09,7528.0,3.0,0.2851571640277669,0.00875
2021-01-09,7528.0,-4.0,0.2851571640277669,0.0
2021-01-09,7528.0,2.0,0.2851571640277669,0.0075
2021-01-09,7528.0,-3.0,0.2851571640277669,0.00125
2021-01-10,6130.0,0.0,0.23063723578504017,0.005
2021-01-10,6130.0,0.0,0.23063723578504017,0.005
2021-01-10,6130.0,-1.0,0.23063723578504017,0.00375
2021-01-10,6130.0,-3.0,0.23063723578504017,0.00125
2021-01-11,4901.0,-3.0,0.18270805709383042,0.00125
2021-01-11,4901.0,-3.0,0.18270805709383042,0.00125
2021-01-11,4901.0,-3.0,0.18270805709383042,0.00125
2021-01-12,4630.0,0.0,0.17213945870056938,0.005
2021-01-12,4630.0,-2.0,0.17213945870056938,0.0025
2021-01-12,4630.0,-3.0,0.17213945870056938,0.00125
2021-01-12,4630.0,-4.0,0.17213945870056938,0.0
2021-01-12,4630.0,-3.0,0.17213945870056938,0.00125
2021-01-13,6086.0,-2.0,0.22892130099056235,0.0025
2021-01-13,6086.0,4.0,0.22892130099056235,0.01
2021-01-13,6086.0,-3.0,0.22892130099056235,0.00125
2021-01-13,6086.0,0.0,0.22892130099056235,0.005
2021-01-13,6086.0,3.0,0.22892130099056235,0.00875
